id;latitude;longitude
prouvais;49.4667;3.98333
azy-sur-marne;49;3.36667
terny-sorny;49.45;3.36667
droizy;49.2833;3.38333
pignicourt;49.4167;4.03333
moussy-verneuil;49.4167;3.63333
aguilcourt;49.4;3.96667
montaigu-02;49.5333;3.83333
moulins-02;49.4167;3.68333
saulchery;48.9833;3.3
nanteuil-la-fosse;49.4333;3.45
guignicourt;49.4333;3.96667
bucy-le-long;49.4;3.38333
longpont;49.2667;3.21667
montgobert;49.3;3.15
noircourt;49.6667;4.1
rozet-saint-albin;49.2;3.3
chivy-les-etouvelles;49.5167;3.58333
chavonne;49.4;3.56667
artonges;48.9333;3.55
oisy-02;50.0167;3.66667
juvigny-02;49.45;3.31667
marchais-en-brie;48.8833;3.48333
bouconville-vauclair;49.4656;3.75556
bouteille;49.8667;3.96667
ly-fontaine;49.7167;3.3
logny-les-aubenton;49.8333;4.2
cuirieux;49.6833;3.81667
iron;49.95;3.66667
joncourt;49.95;3.3
effry;49.9333;4
jumigny;49.4167;3.71667
chaourse;49.7;4
saint-remy-blanzy;49.2333;3.3
beaumont-en-beine;49.7;3.13333
plessier-huleu;49.2333;3.35
estrees-02;49.9667;3.28333
baulne-en-brie;48.9833;3.61667
guivry;49.65;3.11667
variscourt;49.4167;3.98333
chatillon-sur-oise;49.7833;3.4
soissons;49.3667;3.33333
bray-saint-christophe;49.7667;3.15
herie-la-vieville;49.8167;3.63333
aubenton;49.8333;4.2
braye;49.4333;3.36667
brissay-choigny;49.7167;3.36667
remaucourt-02;49.9;3.33333
seraucourt-le-grand;49.7833;3.21667
berry-au-bac;49.4;3.9
vivaise;49.6167;3.56667
proviseux-et-plesnoy;49.4667;4
caumont-02;49.6167;3.18333
villers-le-sec-02;49.7833;3.5
vichel-nanteuil;49.1833;3.28333
romery-02;49.9;3.73333
fontaine-les-clercs;49.8;3.21667
chery-les-pouilly;49.65;3.6
pithon;49.75;3.1
beaurieux-02;49.4;3.73333
sinceny;49.6;3.25
bouffignereux;49.3667;3.85
saint-gengoulph;49.1167;3.21667
pargny-les-bois;49.7167;3.61667
montigny-l-allier;49.1167;3.1
beuvardes;49.15;3.48333
cuissy-et-geny;49.4167;3.7
reuilly-sauvigny;49.0667;3.55
vailly-sur-aisne;49.4167;3.51667
bievres-02;49.5;3.71667
berny-riviere;49.4167;3.15
perles;49.3167;3.65
fontenelle-en-brie;48.9167;3.48333
neuflieux;49.6;3.16667
sainte-croix-02;49.4833;3.78333
pargny-la-dhuys;48.95;3.55
brenelle;49.3667;3.53333
urvillers;49.7833;3.31667
laversine;49.35;3.16667
origny-sainte-benoite;49.8333;3.5
cuiry-housse;49.3;3.48333
neuville-les-dorengt;49.9667;3.68333
blanzy-les-fismes;49.3333;3.66667
hargicourt-02;49.9623;3.18
villers-sur-fere;49.1833;3.53333
herie;49.8833;4.05
bonnesvalyn;49.1167;3.31667
haution;49.85;3.83333
berzy-le-sec;49.3333;3.31667
vallee-au-ble;49.8667;3.78333
catelet;50;3.25
gizy;49.6;3.76667
saint-algis;49.8833;3.81667
saint-aubin-02;49.5167;3.18333
bancigny;49.8;4.01667
villeneuve-sur-fere;49.1833;3.46667
fleury-02;49.2581;3.15639
quincy-sous-le-mont;49.3;3.55
besny-et-loizy;49.6;3.58333
chery-les-rozoy;49.7167;4.08333
chauny;49.6167;3.21667
sommette-eaucourt;49.7333;3.11667
lierval;49.4833;3.61667
chezy-sur-marne;48.9833;3.36667
oulches-la-vallee-foulon;49.4333;3.75
anizy-le-chateau;49.5;3.45
maizy;49.3833;3.73333
fourdrain;49.6;3.46667
nampteuil-sous-muret;49.3;3.41667
urcel;49.5;3.55
louatre;49.25;3.25
barzy-en-thierache;50.0333;3.75
conde-en-brie;49;3.55
dampleux;49.25;3.15
sommelans;49.1333;3.3
pontruet;49.9;3.23333
oigny-en-valois;49.2167;3.13333
loupeigne;49.25;3.53333
lhuys;49.2833;3.55
eparcy;49.8667;4.06667
chapelle-monthodon;49.0167;3.63333
morsain;49.45;3.18333
jaulgonne;49.0833;3.53333
chermizy-ailles;49.4667;3.73333
becquigny-02;50.0173;3.46973
festieux;49.5167;3.75
villers-les-guise;49.9;3.68333
nampcelles-la-cour;49.7833;4
montigny-en-arrouaise;49.9;3.48333
berrieux;49.4833;3.85
chigny;49.9167;3.76667
muret-et-crouttes;49.2833;3.41667
